REW_HYD_PS,2010,2015,2020
1,-332.5,-332.5,-332.5
2,-332.5,-332.5,-332.5
3,-332.5,-332.5,-332.5
4,-332.5,-332.5,-332.5
5,-332.5,-332.5,-332.5
6,-332.5,-332.5,-332.5
7,-95.0,-71.25,-71.25
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,-71.25,-95.0,-95.0
23,0.0,0.0,0.0
24,-332.5,-332.5,-332.5
25,-142.5,-237.5,-237.5
26,-308.75,-332.5,-332.5
27,-332.5,-332.5,-332.5
28,-332.5,-332.5,-332.5
29,-332.5,-332.5,-332.5
30,-332.5,-332.5,-332.5
31,-332.5,-332.5,-332.5
32,-142.5,-237.5,-261.25
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,-142.5,-23.75,0.0
38,-95.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,-332.5,-332.5,-332.5
50,-332.5,-332.5,-332.5
51,-332.5,-332.5,-332.5
52,-332.5,-332.5,-332.5
53,-332.5,-332.5,-332.5
54,-261.25,-332.5,-332.5
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,-47.5,0.0,0.0
61,-142.5,-71.25,-38.872
62,-95.0,-47.5,-19.241
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,-95.0,-95.0,-95.0
72,-190.0,-285.0,-332.5
73,-98.002,-95.0,-95.0
74,-190.0,-190.0,-190.0
75,-190.0,-190.0,-237.5
76,-190.0,-237.5,-332.5
77,-190.0,-190.0,-332.5
78,-190.0,-190.0,-285.0
79,-190.0,-182.078,-237.5
80,-56.096,0.0,0.0
81,-95.0,-23.75,0.0
82,-142.5,-142.5,-23.75
83,-142.5,-142.5,-47.5
84,-142.5,-142.5,0.0
85,-142.5,-142.5,-142.5
86,-142.5,-142.5,-142.5
87,-142.5,-197.997,-142.5
88,-121.662,-218.33,-159.905
89,-13.748,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,-83.868,-66.595,-125.095
97,-285.0,-332.5,-332.5
98,-332.5,-332.5,-332.5
99,-332.5,-332.5,-332.5
100,-332.5,-332.5,-332.5
101,-332.5,-332.5,-332.5
102,-332.5,-332.5,-332.5
103,-47.5,-23.75,-71.25
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,-47.5,0.0,0.0
107,-47.5,0.0,0.0
108,-23.75,0.0,0.0
109,-95.0,-47.5,0.0
110,-47.5,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,-47.5,-95.0,-95.0
120,-190.0,-332.5,-332.5
121,-95.0,-122.487,-142.5
122,-190.0,-190.0,-190.0
123,-190.0,-190.0,-190.0
124,-190.0,-190.0,-285.0
125,-190.0,-190.0,-332.5
126,-190.0,-190.0,-332.5
127,-190.0,-190.0,-308.75
128,-166.25,-119.604,-190.0
129,-142.5,-142.5,-95.0
130,-142.5,-142.5,-47.5
131,-142.5,-142.5,-47.5
132,-142.5,-142.5,0.0
133,-142.5,-142.5,-95.0
134,-142.5,-142.5,-95.0
135,-142.5,-142.5,-47.5
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,-95.0,-114.158,-95.0
145,-332.5,-332.5,-332.5
146,-332.5,-332.5,-332.5
147,-332.5,-332.5,-332.5
148,-332.5,-332.5,-332.5
149,-332.5,-332.5,-332.5
150,-332.5,-332.5,-332.5
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,-71.25,-47.5,0.0
158,-47.5,-23.75,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,-95.0,-95.0,-166.25
168,-285.0,-332.5,-332.5
169,-95.0,-142.5,-142.5
170,-190.0,-190.0,-285.0
171,-213.75,-285.0,-332.5
172,-285.0,-332.5,-332.5
173,-332.5,-332.5,-332.5
174,-237.5,-308.75,-332.5
175,-190.0,-190.0,-237.5
176,-47.5,0.0,0.0
177,0.0,0.0,0.0
178,-47.5,0.0,0.0
179,-142.5,-47.5,0.0
180,-142.5,-95.0,0.0
181,-142.5,-142.5,-118.75
182,-142.5,-142.5,-142.5
183,-142.5,-142.5,-95.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,-142.5,-142.5,-142.5
